Year,Территория,Пол,COMPOSITE_BREAKDOWN,Value
2009,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,97.394384
2010,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,98.545637
2011,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,93.913043
2012,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,98.115977
2013,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,98.919568
2014,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,102.73327
2015,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,87.338262
2016,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,104.440417
2017,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,99.599822
2018,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,105.538596
2019,Чуйская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,101.452371
2007,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,78.163772
2008,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,88.82874
2009,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,93.261719
2010,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,80.910853
2011,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,90.100913
2012,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,85.111427
2013,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,77.997672
2014,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,82.952468
2015,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,78.009415
2016,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,84.414157
2017,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,83.243476
2018,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,89.678511
2019,Чуйская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,91.851545
2007,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,82.3
2008,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,82.6
2009,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,75.8
2010,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,78.1
2011,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,69.8
2012,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,67.4
2013,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,69.3
2014,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,73.1
2015,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,76.6
2016,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,66.5
2017,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,69.1
2018,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,69.281561
2019,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,64.193734
2020,г. Бишкек,,Неинфекционные заболевания: Онкологические заболевания,68.8
2007,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,84.714549
2008,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,86.525932
2009,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,80.16444
2010,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,79.312958
2011,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,71.020611
2012,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,72.957198
2013,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,70.037987
2014,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,74.12555
2015,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,76.627486
2016,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,65.121413
2017,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,68.593615
2018,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,66.947368
2019,г. Бишкек,Мужчины,Неинфекционные заболевания: Онкологические заболевания,63.74257
2007,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,80.210238
2008,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,79.125338
2009,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,71.952032
2010,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,76.990376
2011,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,68.690784
2012,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,62.539615
2013,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,68.609217
2014,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,72.150364
2015,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,76.557864
2016,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,67.583269
2017,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,69.560273
2018,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,71.335927
2019,г. Бишкек,Женщины,Неинфекционные заболевания: Онкологические заболевания,64.592003
2007,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,46.8
2008,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,50.5
2009,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,50.3
2010,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,46.2
2011,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,58.2
2012,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,50.4
2013,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,64.7
2014,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,52.3
2015,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,51.3
2016,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,54.9
2017,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,53.3
2018,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,65.283917
2019,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,58.823529
2020,г. Ош,,Неинфекционные заболевания: Онкологические заболевания,52.0
2007,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,50.447518
2008,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,61.538462
2009,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,61.191626
2010,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,54.20712
2011,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,70.96248
2012,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,56.542811
2013,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,67.300079
2014,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,48.875097
2015,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,50.911854
2016,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,64.635958
2017,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,44.234953
2018,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,73.033708
2019,г. Ош,Мужчины,Неинфекционные заболевания: Онкологические заболевания,55.967633
2007,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,43.478261
2008,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,40.298507
2009,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,40.178571
2010,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,38.834951
2011,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,46.546547
2012,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,44.676098
2013,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,62.271062
2014,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,55.475504
2015,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,51.626591
2016,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,45.769764
2017,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,61.694915
2018,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,58.009229
2019,г. Ош,Женщины,Неинфекционные заболевания: Онкологические заболевания,61.509195
2007,,,Неинфекционные заболевания: Диабет,6.890137
2008,,,Неинфекционные заболевания: Диабет,6.843778
2009,,,Неинфекционные заболевания: Диабет,6.222949
2010,,,Неинфекционные заболевания: Диабет,5.7
2011,,,Неинфекционные заболевания: Диабет,5.802673
2012,,,Неинфекционные заболевания: Диабет,5.332144
2013,,,Неинфекционные заболевания: Диабет,6.9
2014,,,Неинфекционные заболевания: Диабет,7.2
2015,,,Неинфекционные заболевания: Диабет,6.0
2016,,,Неинфекционные заболевания: Диабет,6.7
2017,,,Неинфекционные заболевания: Диабет,6.8
2018,,,Неинфекционные заболевания: Диабет,7.3
2019,,,Неинфекционные заболевания: Диабет,7.0
2020,,,Неинфекционные заболевания: Диабет,9.8
2007,,Мужчины,Неинфекционные заболевания: Диабет,6.464522
2008,,Мужчины,Неинфекционные заболевания: Диабет,5.869797
2009,,Мужчины,Неинфекционные заболевания: Диабет,5.420258
2010,,Мужчины,Неинфекционные заболевания: Диабет,4.945709
2011,,Мужчины,Неинфекционные заболевания: Диабет,5.141955
2012,,Мужчины,Неинфекционные заболевания: Диабет,5.053604
2013,,Мужчины,Неинфекционные заболевания: Диабет,5.658309
2014,,Мужчины,Неинфекционные заболевания: Диабет,6.720477
2015,,Мужчины,Неинфекционные заболевания: Диабет,5.188375
2016,,Мужчины,Неинфекционные заболевания: Диабет,5.412226
2017,,Мужчины,Неинфекционные заболевания: Диабет,6.184493
2018,,Мужчины,Неинфекционные заболевания: Диабет,6.378161
2019,,Мужчины,Неинфекционные заболевания: Диабет,6.461481
2020,,Мужчины,Неинфекционные заболевания: Диабет,9.0
2007,,Женщины,Неинфекционные заболевания: Диабет,7.304465
2008,,Женщины,Неинфекционные заболевания: Диабет,7.791919
2009,,Женщины,Неинфекционные заболевания: Диабет,7.005061
2010,,Женщины,Неинфекционные заболевания: Диабет,6.416066
2011,,Женщины,Неинфекционные заболевания: Диабет,6.446991
2012,,Женщины,Неинфекционные заболевания: Диабет,5.604117
2013,,Женщины,Неинфекционные заболевания: Диабет,8.090727
2014,,Женщины,Неинфекционные заболевания: Диабет,7.595538
2015,,Женщины,Неинфекционные заболевания: Диабет,6.847721
2016,,Женщины,Неинфекционные заболевания: Диабет,7.985398
2017,,Женщины,Неинфекционные заболевания: Диабет,7.388926
2018,,Женщины,Неинфекционные заболевания: Диабет,8.251239
2019,,Женщины,Неинфекционные заболевания: Диабет,7.623966
2020,,Женщины,Неинфекционные заболевания: Диабет,10.7
2007,Баткенская область,,Неинфекционные заболевания: Диабет,8.072175
2008,Баткенская область,,Неинфекционные заболевания: Диабет,5.651048
2009,Баткенская область,,Неинфекционные заболевания: Диабет,4.64684
2010,Баткенская область,,Неинфекционные заболевания: Диабет,4.115226
2011,Баткенская область,,Неинфекционные заболевания: Диабет,3.146775
2012,Баткенская область,,Неинфекционные заболевания: Диабет,5.509035
2013,Баткенская область,,Неинфекционные заболевания: Диабет,4.522938
2014,Баткенская область,,Неинфекционные заболевания: Диабет,5.892256
2015,Баткенская область,,Неинфекционные заболевания: Диабет,6.165228
2016,Баткенская область,,Неинфекционные заболевания: Диабет,7.026701
2017,Баткенская область,,Неинфекционные заболевания: Диабет,6.096362
2018,Баткенская область,,Неинфекционные заболевания: Диабет,5.390836
2019,Баткенская область,,Неинфекционные заболевания: Диабет,7.341867
2020,Баткенская область,,Неинфекционные заболевания: Диабет,8.3
2007,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,7.940215
2008,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,2.777778
2009,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,3.652968
2010,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,1.349528
2011,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,3.542958
2012,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,6.076389
2013,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,5.086901
2014,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,7.036424
2015,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,6.464646
2016,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,7.498027
2017,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,5.795981
2018,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,6.049149
2019,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,8.130081
2020,Баткенская область,Мужчины,Неинфекционные заболевания: Диабет,9.0
2007,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,8.208595
2008,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,8.62482
2009,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,5.676443
2010,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,6.973501
2011,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,2.738476
2012,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,4.923903
2013,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,3.940455
2014,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,4.708904
2015,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,5.855291
2016,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,6.538619
2017,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,6.407689
2018,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,4.707729
2019,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,6.523408
2020,Баткенская область,Женщины,Неинфекционные заболевания: Диабет,7.5
2007,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,6.578947
2008,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,9.104552
2009,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,8.374384
2010,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,7.670648
2011,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,7.939545
2012,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,7.602065
2013,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,9.558824
2014,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,10.622974
2015,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,8.991537
2016,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,8.552177
2017,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,8.815801
2018,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,10.39501
2019,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,10.43535
2020,Джалал-Абадская область,,Неинфекционные заболевания: Диабет,16.0
2007,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,6.881198
2008,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,8.8
2009,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,7.678677
2010,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,6.789525
2011,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,8.024455
2012,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,7.494847
2013,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,6.601871
2014,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,9.872554
2015,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,8.428446
2016,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,6.017882
2017,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,7.418648
2018,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,7.439246
2019,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,8.587168
2020,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Диабет,15.6
2007,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,6.276574
2008,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,9.409409
2009,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,9.071189
2010,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,8.553655
2011,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,7.854406
2012,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,7.709665
2013,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,12.529943
2014,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,11.378003
2015,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,9.559214
2016,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,11.111111
2017,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,10.228435
2018,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,13.386881
2019,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,12.307187
2020,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Диабет,16.4
2007,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,10.366275
2008,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,6.186984
2009,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,8.191126
2010,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,8.128246
2011,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,6.946
2012,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,6.434435
2013,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,8.991228
2014,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,8.889853
2015,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,6.20985
2016,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,6.970849
2017,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,10.418837
2018,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,13.157895
2019,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,9.129641
2020,Иссык-Кульская область,,Неинфекционные заболевания: Диабет,14.6
2007,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,8.882655
2008,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,4.180214
2009,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,8.743672
2010,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,7.29927
2011,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,5.424955
2012,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,6.711409
2013,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,7.954043
2014,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,7.860262
2015,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,4.741379
2016,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,5.947324
2017,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,12.981575
2018,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,11.147812
2019,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,7.739308
2020,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Диабет,13.3
2007,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,11.807448
2008,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,8.141113
2009,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,7.650765
2010,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,8.940545
2011,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,8.440693
2012,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,6.161972
2013,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,10.013061
2014,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,9.905254
2015,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,7.659574
2016,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,7.983193
2017,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,7.880547
2018,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,15.151515
2019,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,10.509297
2020,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Диабет,16.0
2007,Нарынская область,,Неинфекционные заболевания: Диабет,5.445352
2008,Нарынская область,,Неинфекционные заболевания: Диабет,3.889537
2009,Нарынская область,,Неинфекционные заболевания: Диабет,6.581494
2010,Нарынская область,,Неинфекционные заболевания: Диабет,4.219409
2011,Нарынская область,,Неинфекционные заболевания: Диабет,6.069803
2012,Нарынская область,,Неинфекционные заболевания: Диабет,3.752345
2013,Нарынская область,,Неинфекционные заболевания: Диабет,3.707824
2014,Нарынская область,,Неинфекционные заболевания: Диабет,6.959707
2015,Нарынская область,,Неинфекционные заболевания: Диабет,4.708439
2016,Нарынская область,,Неинфекционные заболевания: Диабет,5.010737
2017,Нарынская область,,Неинфекционные заболевания: Диабет,3.893805
2018,Нарынская область,,Неинфекционные заболевания: Диабет,7.358094
2019,Нарынская область,,Неинфекционные заболевания: Диабет,7.63094
2020,Нарынская область,,Неинфекционные заболевания: Диабет,9.6
2007,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,5.39707
2008,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,3.079292
2009,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,4.594181
2010,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,1.515152
2011,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,5.988024
2012,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,1.47929
2013,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,3.652301
2014,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,7.220217
2015,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,4.282655
2016,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,7.052186
2017,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,2.089136
2018,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,5.509642
2019,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,5.453306
2020,Нарынская область,Мужчины,Неинфекционные заболевания: Диабет,8.1
2007,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,5.494505
2008,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,4.716981
2009,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,8.613939
2010,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,6.993007
2011,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,6.153846
2012,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,6.092917
2013,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,3.76506
2014,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,6.69145
2015,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,5.147059
2016,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,2.906977
2017,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,5.759539
2018,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,9.272468
2019,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,9.887006
2020,Нарынская область,Женщины,Неинфекционные заболевания: Диабет,11.2
2007,Ошская область,,Неинфекционные заболевания: Диабет,6.482682
2008,Ошская область,,Неинфекционные заболевания: Диабет,5.398481
2009,Ошская область,,Неинфекционные заболевания: Диабет,5.588103
2010,Ошская область,,Неинфекционные заболевания: Диабет,5.158307
2011,Ошская область,,Неинфекционные заболевания: Диабет,4.651979
2012,Ошская область,,Неинфекционные заболевания: Диабет,4.739336
2013,Ошская область,,Неинфекционные заболевания: Диабет,4.803641
2014,Ошская область,,Неинфекционные заболевания: Диабет,5.106663
2015,Ошская область,,Неинфекционные заболевания: Диабет,5.707395
2016,Ошская область,,Неинфекционные заболевания: Диабет,5.496231
2017,Ошская область,,Неинфекционные заболевания: Диабет,6.073186
2018,Ошская область,,Неинфекционные заболевания: Диабет,6.626506
2019,Ошская область,,Неинфекционные заболевания: Диабет,6.789668
2020,Ошская область,,Неинфекционные заболевания: Диабет,7.6
2007,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,5.880191
2008,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,5.266025
2009,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,4.291845
2010,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,4.943503
2011,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,4.707113
2012,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,3.422313
2013,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,4.683841
2014,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,4.902762
2015,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,4.942602
2016,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,4.201681
2017,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,5.785627
2018,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,7.005515
2019,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,7.29927
2020,Ошская область,Мужчины,Неинфекционные заболевания: Диабет,6.0
2007,Ошская область,Женщины,Неинфекционные заболевания: Диабет,7.094847
2008,Ошская область,Женщины,Неинфекционные заболевания: Диабет,5.533014
2009,Ошская область,Женщины,Неинфекционные заболевания: Диабет,6.905324
2010,Ошская область,Женщины,Неинфекционные заболевания: Диабет,5.376344
2011,Ошская область,Женщины,Неинфекционные заболевания: Диабет,4.596076
2012,Ошская область,Женщины,Неинфекционные заболевания: Диабет,6.075334
2013,Ошская область,Женщины,Неинфекционные заболевания: Диабет,4.925272
2014,Ошская область,Женщины,Неинфекционные заболевания: Диабет,5.313849
